CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),cluster_group
1,Male,19,15,39,154
2,Male,21,15,81,153
3,Female,20,16,6,152
4,Female,23,16,77,32
5,Female,31,17,40,151
6,Female,22,17,76,32
7,Female,35,18,6,150
8,Female,23,18,94,149
9,Male,64,19,3,148
10,Female,30,19,72,147
11,Male,67,19,14,12
12,Female,35,19,99,146
13,Female,58,20,15,12
14,Female,24,20,77,145
15,Male,37,20,13,12
16,Male,22,20,79,144
17,Female,35,21,35,143
18,Male,20,21,66,142
19,Male,52,23,29,141
20,Female,35,23,98,140
21,Male,35,24,35,139
22,Male,25,24,73,31
23,Female,46,25,5,138
24,Male,31,25,73,31
25,Female,54,28,14,137
26,Male,29,28,82,135
27,Female,45,28,32,30
28,Male,35,28,61,136
29,Female,40,29,31,30
30,Female,23,29,87,134
31,Male,60,30,4,133
32,Female,21,30,73,132
33,Male,53,33,4,131
34,Male,18,33,92,128
35,Female,49,33,14,130
36,Female,21,33,81,129
37,Female,42,34,17,127
38,Female,30,34,73,126
39,Female,36,37,26,125
40,Female,20,37,75,124
41,Female,65,38,35,29
42,Male,24,38,92,123
43,Male,48,39,36,29
44,Female,31,39,61,121
45,Female,49,39,28,122
46,Female,24,39,65,120
47,Female,50,40,55,118
48,Female,27,40,47,119
49,Female,29,40,42,28
50,Female,31,40,42,28
51,Female,49,42,52,117
52,Male,33,42,60,27
53,Female,31,43,54,115
54,Male,59,43,60,27
55,Female,50,43,45,26
56,Male,47,43,41,116
57,Female,51,44,50,114
58,Male,69,44,46,26
59,Female,27,46,51,11
60,Male,53,46,46,113
61,Male,70,46,56,25
62,Male,19,46,55,25
63,Female,67,47,52,11
64,Female,54,47,59,10
65,Male,63,48,51,11
66,Male,18,48,59,10
67,Female,43,48,50,11
68,Female,68,48,48,24
69,Male,19,48,59,10
70,Female,32,48,47,24
71,Male,70,49,55,23
72,Female,47,49,42,112
73,Female,60,50,49,111
74,Female,60,50,56,23
75,Male,59,54,47,9
76,Male,26,54,54,7
77,Female,45,54,53,8
78,Male,40,54,48,9
79,Female,23,54,52,8
80,Female,49,54,42,22
81,Male,57,54,51,8
82,Male,38,54,55,7
83,Male,67,54,41,22
84,Female,46,54,44,110
85,Female,21,54,57,109
86,Male,48,54,46,9
87,Female,55,57,58,107
88,Female,22,57,55,108
89,Female,34,58,60,105
90,Female,50,58,46,106
91,Female,68,59,55,104
92,Male,18,59,41,6
93,Male,48,60,49,5
94,Female,40,60,40,6
95,Female,32,60,42,6
96,Male,24,60,52,102
97,Female,47,60,47,103
98,Female,27,60,50,5
99,Male,48,61,42,0
100,Male,20,61,49,5
101,Female,23,62,41,0
102,Female,49,62,48,4
103,Male,67,62,59,101
104,Male,26,62,55,3
105,Male,49,62,56,3
106,Female,21,62,42,0
107,Female,66,63,50,100
108,Male,54,63,46,21
109,Male,68,63,43,2
110,Male,66,63,48,4
111,Male,65,63,52,99
112,Female,19,63,54,3
113,Female,38,64,42,2
114,Male,19,64,46,21
115,Female,18,65,48,98
116,Female,19,65,50,97
117,Female,63,65,43,2
118,Female,49,65,59,96
119,Female,51,67,43,94
120,Female,50,67,57,20
121,Male,27,67,56,20
122,Female,38,67,40,95
123,Female,40,69,58,93
124,Male,39,69,91,92
125,Female,23,70,29,91
126,Female,31,70,77,90
127,Male,43,71,35,18
128,Male,40,71,95,87
129,Male,59,71,11,88
130,Male,38,71,75,19
131,Male,47,71,9,89
132,Male,39,71,75,19
133,Female,25,72,34,18
134,Female,31,72,71,86
135,Male,20,73,5,85
136,Female,29,73,88,83
137,Female,44,73,7,84
138,Male,32,73,73,17
139,Male,19,74,10,82
140,Female,35,74,72,17
141,Female,57,75,5,81
142,Male,32,75,93,80
143,Female,28,76,40,79
144,Female,32,76,87,78
145,Male,25,77,12,77
146,Male,28,77,97,75
147,Male,48,77,36,76
148,Female,32,77,74,16
149,Female,34,78,22,73
150,Male,34,78,90,1
151,Male,43,78,17,14
152,Male,39,78,88,1
153,Female,44,78,20,74
154,Female,38,78,76,72
155,Female,47,78,16,14
156,Female,27,78,89,1
157,Male,37,78,1,15
158,Female,30,78,78,71
159,Male,34,78,1,15
160,Female,30,78,73,16
161,Female,56,79,35,70
162,Female,29,79,83,69
163,Male,19,81,5,68
164,Female,31,81,93,67
165,Male,50,85,26,66
166,Female,36,85,75,65
167,Male,42,86,20,64
168,Female,33,86,95,63
169,Female,36,87,27,61
170,Male,32,87,63,60
171,Male,40,87,13,13
172,Male,28,87,75,59
173,Male,36,87,10,62
174,Male,36,87,92,58
175,Female,52,88,13,13
176,Female,30,88,86,55
177,Male,58,88,15,57
178,Male,27,88,69,56
179,Male,59,93,14,54
180,Male,35,93,90,53
181,Female,37,97,32,52
182,Female,32,97,86,51
183,Male,46,98,15,50
184,Female,29,98,88,49
185,Female,41,99,39,48
186,Male,30,99,97,47
187,Female,54,101,24,46
188,Male,28,101,68,45
189,Female,41,103,17,44
190,Female,36,103,85,41
191,Female,34,103,23,43
192,Female,32,103,69,42
193,Male,33,113,8,40
194,Female,38,113,91,39
195,Female,47,120,16,38
196,Female,35,120,79,37
197,Female,45,126,28,36
198,Male,32,126,74,35
199,Male,32,137,18,34
200,Male,30,137,83,33
